frame_id,timestamp_us,visible,x,y
0,0,1,80,240
1,100000,1,87,247.183
2,200000,1,94,254.262
3,300000,1,101,261.136
4,400000,1,108,267.707
5,500000,1,115,273.879
6,600000,1,122,279.563
7,700000,1,129,284.679
8,800000,1,136,289.151
9,900000,1,143,292.917
10,1000000,1,150,295.922
11,1100000,1,157,298.123
12,1200000,1,164,299.487
13,1300000,1,171,299.996
14,1400000,1,178,299.643
15,1500000,1,185,298.431
16,1600000,1,192,296.379
17,1700000,1,199,293.516
18,1800000,1,206,289.883
19,1900000,1,213,285.533
20,2000000,1,220,280.528
21,2100000,1,227,274.94
22,2200000,1,234,268.849
23,2300000,1,241,262.344
24,2400000,1,248,255.517
25,2500000,0,255,248.467
26,2600000,0,262,241.295
27,2700000,0,269,234.105
28,2800000,0,276,226.999
29,2900000,1,283,220.081
30,3000000,1,290,213.449
31,3100000,1,297,207.199
32,3200000,1,304,201.42
33,3300000,1,311,196.197
34,3400000,1,318,191.603
35,3500000,1,325,187.705
36,3600000,1,332,184.56
37,3700000,1,339,182.212
38,3800000,1,346,180.695
39,3900000,1,353,180.031
40,4000000,1,360,180.23
41,4100000,1,367,181.288
42,4200000,1,374,183.191
43,4300000,1,381,185.911
44,4400000,1,388,189.409
45,4500000,1,395,193.634
46,4600000,1,402,198.526
47,4700000,1,409,204.015
48,4800000,1,416,210.021
49,4900000,1,423,216.459
50,5000000,1,430,223.235
51,5100000,1,437,230.252
52,5200000,1,444,237.41
53,5300000,1,451,244.604
54,5400000,1,458,251.733
55,5500000,1,465,258.692
56,5600000,1,472,265.383
57,5700000,1,479,271.709
58,5800000,1,486,277.579
59,5900000,1,493,282.908
